"Time","Position","Target","Error","Int. Error","Der. Error","Output","Clipped Output","Target Velocity","Required Acc","Clipped Acc","Actual Velocity"
"0","1","10","-9","-0.225","0","27.18","27.18","6.795","271.8","271.8","6.17"
"0.025","1.15425","10","-8.84575","-0.44614375","6.17","22.575165","22.575165","11.81379125","225.75165","225.75165","11.18879125"
"0.05","1.433969781","10","-8.566030219","-0.660294505","11.18879125","18.394172386","18.394172386","15.787334346","183.941723856","183.941723856","15.162334346"
"0.075","1.81302814","10","-8.18697186","-0.864968802","15.162334346","14.639256579","14.639256579","18.822148491","146.392565794","146.392565794","18.197148491"
"0.1","2.267956852","10","-7.732043148","-1.058269881","18.197148491","11.304741404","11.304741404","21.023333842","113.047414041","113.047414041","20.398333842"
"0.125","2.777915198","10","-7.222084802","-1.238822001","20.398333842","8.378478316","8.378478316","22.492953421","83.784783162","83.784783162","21.867953421"
"0.15","3.324614034","10","-6.675385966","-1.40570665","21.867953421","5.843155824","5.843155824","23.328742377","58.431558236","58.431558236","22.703742377"
"0.175","3.892207593","10","-6.107792407","-1.55840146","22.703742377","3.677478724","3.677478724","23.623112058","36.774787243","36.774787243","22.998112058"
"0.2","4.467160395","10","-5.532839605","-1.69672245","22.998112058","1.857218335","1.857218335","23.462416642","18.572183353","18.572183353","22.837416642"
"0.225","5.038095811","10","-4.961904189","-1.820770055","22.837416642","0.356136962","0.356136962","22.926450883","3.561369623","3.561369623","22.301450883"
"0.25","5.595632083","10","-4.404367917","-1.930879253","22.301450883","-0.853208464","-0.853208464","22.088148767","-8.53208464","-8.53208464","21.463148767"
"0.275","6.132210802","10","-3.867789198","-2.027573983","21.463148767","-1.798777356","-1.798777356","21.013454428","-17.987773563","-17.987773563","20.388454428"
"0.325","6.641922163","10","-3.358077837","-2.111525929","20.388454428","-2.508463844","-2.508463844","19.761338467","-25.084638443","-25.084638443","19.136338467"
"0.35","7.120330624","10","-2.879669376","-2.183517663","19.136338467","-3.009614669","-3.009614669","18.383934799","-30.09614669","-30.09614669","17.758934799"
"0.375","7.564303994","10","-2.435696006","-2.244410063","17.758934799","-3.328638292","-3.328638292","16.926775226","-33.286382918","-33.286382918","16.301775226"
"0.4","7.971848375","10","-2.028151625","-2.295113854","16.301775226","-3.4906967","-3.4906967","15.429101051","-34.906967002","-34.906967002","14.804101051"
"0.425","8.341950901","10","-1.658049099","-2.336565081","14.804101051","-3.519471375","-3.519471375","13.924233208","-35.194713745","-35.194713745","13.299233208"
"0.45","8.674431731","10","-1.325568269","-2.369704288","13.299233208","-3.436995009","-3.436995009","12.439984455","-34.369950092","-34.369950092","11.814984455"
"0.475","8.969806343","10","-1.030193657","-2.395459129","11.814984455","-3.263540844","-3.263540844","10.999099244","-32.635408436","-32.635408436","10.374099244"
"0.5","9.229158824","10","-0.770841176","-2.414730159","10.374099244","-3.017561816","-3.017561816","9.619708791","-30.175618158","-30.175618158","8.994708791"
"0.525","9.454026544","10","-0.545973456","-2.428379495","8.994708791","-2.715672188","-2.715672188","8.315790743","-27.156721882","-27.156721882","7.690790743"
"0.55","9.646296312","10","-0.353703688","-2.437222087","7.690790743","-2.372664787","-2.372664787","7.097624547","-23.726647873","-23.726647873","6.472624547"
"0.575","9.808111926","10","-0.191888074","-2.442019289","6.472624547","-2.001557529","-2.001557529","5.972235164","-20.01557529","-20.01557529","5.347235164"
"0.6","9.941792805","10","-0.058207195","-2.443474469","5.347235164","-1.613663455","-1.613663455","4.943819301","-16.136634549","-16.136634549","4.318819301"
"0.625","10.049763288","10","0.049763288","-2.442230387","4.318819301","-1.218679064","-1.218679064","4.014149535","-12.186790636","-12.186790636","3.389149535"
"0.65","10.134492026","10","0.134492026","-2.438868086","3.389149535","-0.824786283","-0.824786283","3.182952964","-8.247862831","-8.247862831","2.557952964"
"0.675","10.19844085","10","0.19844085","-2.433907065","2.557952964","-0.438763973","-0.438763973","2.448261971","-4.387639728","-4.387639728","1.823261971"
"0.7","10.244022399","10","0.244022399","-2.427806505","1.823261971","-0.066105373","-0.066105373","1.806735627","-0.661053734","-0.661053734","1.181735627"
"0.725","10.27356579","10","0.27356579","-2.42096736","1.181735627","0.288861579","0.288861579","1.253951022","2.888615791","2.888615791","0.628951022"
"0.75","10.289289566","10","0.289289566","-2.413735121","0.628951022","0.622853685","0.622853685","0.784664443","6.228536848","6.228536848","0.159664443"
"0.775","10.293281177","10","0.293281177","-2.406403092","0.159664443","0.933513833","0.933513833","0.393042902","9.335138331","9.335138331","-0.231957098"
"0.8","10.287482249","10","0.287482249","-2.399216036","-0.231957098","1.21929605","1.21929605","0.072866914","12.192960497","12.192960497","-0.552133086"
"0.825","10.273678922","10","0.273678922","-2.392374063","-0.552133086","1.479355644","1.479355644","-0.182294175","14.79355644","14.79355644","-0.807294175"
"0.85","10.253496568","10","0.253496568","-2.386036648","-0.807294175","1.713445538","1.713445538","-0.37893279","17.134455381","17.134455381","-1.00393279"
"0.875","10.228398248","10","0.228398248","-2.380326692","-1.00393279","1.921819563","1.921819563","-0.523477899","19.218195632","19.218195632","-1.148477899"
"0.9","10.1996863","10","0.1996863","-2.375334535","-1.148477899","2.105143256","2.105143256","-0.622192085","21.051432561","21.051432561","-1.247192085"
"0.925","10.168506498","10","0.168506498","-2.371121872","-1.247192085","2.264412463","2.264412463","-0.68108897","22.644124627","22.644124627","-1.30608897"
"0.95","10.135854274","10","0.135854274","-2.367725515","-1.30608897","2.400879869","2.400879869","-0.705869003","24.00879869","24.00879869","-1.330869003"
"0.975","10.102582549","10","0.102582549","-2.365160952","-1.330869003","2.515989416","2.515989416","-0.701871648","25.159894161","25.159894161","-1.326871648"
"1","10.069410758","10","0.069410758","-2.363425683","-1.326871648","2.611318427","2.611318427","-0.674042042","26.113184268","26.113184268","-1.299042042"
"1.025","10.036934707","10","0.036934707","-2.362502315","-1.299042042","2.688527161","2.688527161","-0.626910252","26.885271611","26.885271611","-1.251910252"
"1.05","10.00563695","10","0.00563695","-2.362361391","-1.251910252","2.749315438","2.749315438","-0.564581392","27.493154378","27.493154378","-1.189581392"
"1.075","9.975897416","10","-0.024102584","-2.362963956","-1.189581392","2.795385892","2.795385892","-0.490734919","27.953858923","27.953858923","-1.115734919"
"1.1","9.948004043","10","-0.051995957","-2.364263855","-1.115734919","2.828413399","2.828413399","-0.408631569","28.284133992","28.284133992","-1.033631569"
